1	0.169	0.252	0.232	0.182	24.1	0.1
1	0.192	0.262	0.25	0.202	24.1	0.1
1	0.098	0.329	0.339	0.224	26.6	0.1
1	0.164	0.331	0.378	0.337	27.4	0.1
1	0.162	0.324	0.37	0.329	26.6	0.1
1	0.16	0.321	0.365	0.326	27.4	0.1
1	0.158	0.321	0.366	0.325	26.6	0.1
1	0.158	0.324	0.369	0.328	27.4	0.1
1	0.159	0.326	0.371	0.33	26.6	0.1
1	0.157	0.33	0.375	0.333	26.6	0.1
1	0.155	0.333	0.378	0.336	28.3	0.1
1	0.153	0.333	0.379	0.334	26.6	0.1
1	0.152	0.336	0.381	0.336	27.4	0.1
1	0.15	0.332	0.377	0.332	25.8	0.1
1	0.151	0.327	0.371	0.327	27.4	0.1
1	0.151	0.323	0.366	0.323	25.8	0.1
1	0.153	0.317	0.36	0.319	26.6	0.1
1	0.152	0.313	0.357	0.316	26.6	0.1
1	0.152	0.309	0.354	0.312	27.4	0.1
1	0.152	0.306	0.349	0.309	27.4	0.1
1	0.153	0.305	0.35	0.307	27.4	0.1
1	0.153	0.307	0.35	0.309	27.4	0.1
1	0.153	0.307	0.351	0.31	26.6	0.1
1	0.153	0.308	0.354	0.313	27.4	0.1
2	0.068	0.354	0.366	0.28	28.3	0.5
2	0.092	0.364	0.41	0.36	28.3	0.5
2	0.091	0.361	0.408	0.356	28.3	0.5
2	0.09	0.357	0.403	0.354	29.1	0.5
2	0.089	0.354	0.398	0.349	28.3	0.5
2	0.088	0.349	0.394	0.341	28.3	0.5
2	0.086	0.343	0.388	0.339	27.4	0.5
2	0.086	0.341	0.387	0.337	27.4	0.5
2	0.085	0.338	0.382	0.333	27.4	0.5
2	0.085	0.332	0.378	0.331	27.4	0.5
2	0.085	0.328	0.374	0.325	26.6	0.5
2	0.085	0.331	0.375	0.327	28.3	0.5
2	0.086	0.334	0.378	0.33	28.3	0.5
2	0.084	0.331	0.375	0.325	27.4	0.5
2	0.083	0.322	0.366	0.317	27.4	0.5
2	0.082	0.316	0.358	0.311	28.3	0.5
2	0.079	0.312	0.352	0.308	28.3	0.5
2	0.082	0.311	0.355	0.309	28.3	0.5
2	0.087	0.316	0.361	0.314	27.4	0.5
2	0.093	0.319	0.364	0.318	28.3	0.5
2	0.097	0.328	0.374	0.328	28.3	0.5
2	0.102	0.338	0.385	0.338	28.3	0.5
2	0.102	0.345	0.392	0.342	28.3	0.5
2	0.101	0.348	0.396	0.345	28.3	0.5
3	0.09	0.297	0.329	0.282	28.3	0.7
3	0.103	0.303	0.348	0.31	28.3	0.7
3	0.102	0.299	0.342	0.307	28.3	0.7
3	0.102	0.297	0.342	0.307	28.3	0.7
3	0.103	0.296	0.341	0.305	28.3	0.7
3	0.104	0.295	0.339	0.304	28.3	0.7
3	0.104	0.294	0.339	0.304	28.3	0.7
3	0.103	0.294	0.338	0.302	28.3	0.7
3	0.101	0.293	0.335	0.299	28.3	0.7
3	0.099	0.293	0.333	0.295	29.1	0.7
3	0.099	0.295	0.336	0.3	28.3	0.7
3	0.099	0.298	0.34	0.302	28.3	0.7
3	0.1	0.299	0.339	0.301	28.3	0.7
3	0.1	0.299	0.339	0.301	28.3	0.7
3	0.1	0.298	0.339	0.301	28.3	0.7
3	0.102	0.298	0.341	0.302	28.3	0.7
3	0.105	0.302	0.346	0.309	29.1	0.7
3	0.105	0.304	0.348	0.312	28.3	0.7
3	0.105	0.303	0.349	0.311	28.3	0.7
3	0.105	0.304	0.349	0.311	28.3	0.7
3	0.103	0.31	0.354	0.314	27.4	0.7
3	0.101	0.314	0.358	0.318	27.4	0.7
3	0.101	0.315	0.359	0.317	30	0.7
3	0.101	0.316	0.359	0.318	29.1	0.7
